,Sorted Json formula,Site,Distance,Element
142,"{""A"": {""Co"": 0.1667, ""Cu"": 0.1667, ""Ge"": 0.1667, ""Mg"": 0.1667, ""Ni"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.33564543416728,Ge
297,"{""A"": {""Co"": 0.1429, ""Cr"": 0.1429, ""Cu"": 0.1429, ""Fe"": 0.1429, ""Li"": 0.1429, ""Mn"": 0.1429, ""Ni"": 0.1429}, ""B"": {""O"": 1.0}}",A,0.3196368016073412,Li
305,"{""A"": {""Co"": 0.1667, ""Cr"": 0.1667, ""Fe"": 0.1667, ""Li"": 0.1667, ""Mn"": 0.1667, ""Ni"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.3097247684978389,Li
58,"{""A"": {""Ba"": 0.2, ""Ca"": 0.2, ""Mg"": 0.2, ""Pb"": 0.2, ""Sr"": 0.2}, ""B"": {""Ti"": 1.0}, ""C"": {""O"": 1.0}}",A,0.30745607859209745,Pb
55,"{""A"": {""Ba"": 0.2, ""Ca"": 0.2, ""Mg"": 0.2, ""Pb"": 0.2, ""Sr"": 0.2}, ""B"": {""Fe"": 1.0}, ""C"": {""O"": 1.0}}",A,0.30745607859209745,Pb
340,"{""A"": {""Ba"": 0.2, ""Ca"": 0.2, ""La"": 0.2, ""Pb"": 0.2, ""Sr"": 0.2}, ""B"": {""Ti"": 1.0}, ""C"": {""O"": 1.0}}",A,0.3067212801045809,Pb
299,"{""A"": {""Co"": 0.1429, ""Cr"": 0.1429, ""Fe"": 0.1429, ""Li"": 0.1429, ""Mn"": 0.1429, ""Ni"": 0.1429, ""Zn"": 0.1429}, ""B"": {""O"": 1.0}}",A,0.30536708637754195,Li
298,"{""A"": {""Co"": 0.1429, ""Cr"": 0.1429, ""Fe"": 0.1429, ""Li"": 0.1429, ""Mg"": 0.1429, ""Mn"": 0.1429, ""Ni"": 0.1429}, ""B"": {""O"": 1.0}}",A,0.29231313258197034,Li
653,"{""A"": {""Ba"": 0.2, ""La"": 0.2, ""Na"": 0.2, ""Pb"": 0.2, ""Sr"": 0.2}, ""B"": {""Nb"": 1.0}, ""C"": {""O"": 1.0}}",A,0.2905338047991981,Pb
670,"{""A"": {""Co"": 0.1667, ""Cr"": 0.1667, ""Li"": 0.1667, ""Mn"": 0.1667, ""Ni"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.2892565547042788,Li
622,"{""A"": {""Dy"": 0.2, ""Er"": 0.2, ""Hf"": 0.2, ""Ho"": 0.2, ""Tm"": 0.2}, ""B"": {""Hf"": 1.0}, ""C"": {""O"": 1.0}}",A,0.28612535517769744,Hf
657,"{""A"": {""Bi"": 0.8571, ""Mg"": 0.1429}, ""B"": {""Nb"": 0.3333, ""Ta"": 0.3333, ""Zn"": 0.3333}, ""C"": {""O"": 1.0}}",B,0.28451258507039967,Zn
358,"{""A"": {""La"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Ga"": 0.2, ""Ge"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.28285167171245906,Ge
661,"{""A"": {""Ba"": 0.25, ""Ca"": 0.25, ""Pb"": 0.25, ""Sr"": 0.25}, ""B"": {""Bi"": 0.5, ""Nb"": 0.5}, ""C"": {""O"": 1.0}}",A,0.2821971721397665,Pb
669,"{""A"": {""Co"": 0.1667, ""Fe"": 0.1667, ""Li"": 0.1667, ""Mn"": 0.1667, ""Ni"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.28183187136468824,Li
680,"{""A"": {""Ba"": 0.2, ""Ca"": 0.2, ""La"": 0.2, ""Li"": 0.2, ""Sr"": 0.2}, ""B"": {""Al"": 0.1, ""Ti"": 0.9}, ""C"": {""O"": 1.0}}",A,0.28016748058485696,Li
304,"{""A"": {""Co"": 0.1667, ""Cr"": 0.1667, ""Fe"": 0.1667, ""Li"": 0.1667, ""Mg"": 0.1667, ""Mn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.2731198866709158,Li
60,"{""A"": {""Sr"": 1.0}, ""B"": {""Hf"": 0.2, ""Mn"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.27254028502593153,Mn
139,"{""A"": {""Co"": 0.1667, ""Cu"": 0.1667, ""Mg"": 0.1667, ""Ni"": 0.1667, ""Sb"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.26819176997320826,Sb
138,"{""A"": {""Co"": 0.1667, ""Cu"": 0.1667, ""Li"": 0.1667, ""Mg"": 0.1667, ""Ni"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.2597423232483196,Li
70,"{""A"": {""Ba"": 1.0}, ""B"": {""Hf"": 0.2, ""Sn"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.25546965314958114,Sn
715,"{""A"": {""Li"": 0.5, ""Sr"": 0.5}, ""B"": {""Hf"": 0.2, ""Sn"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.25546965314958114,Sn
71,"{""A"": {""Sr"": 1.0}, ""B"": {""Hf"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Y"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2546783455846252,Sn
63,"{""A"": {""Ba"": 1.0}, ""B"": {""Hf"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Y"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2546783455846252,Sn
439,"{""A"": {""Na"": 0.6}, ""B"": {""Co"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Ru"": 0.2, ""Ti"": 0.2}, ""C"": {""O"": 1.0}}",B,0.24866633711023223,Ti
291,"{""A"": {""Ag"": 0.2, ""Cd"": 0.2, ""Pb"": 0.2, ""Sb"": 0.2, ""Sn"": 0.2}, ""B"": {""Te"": 1.0}}",A,0.24668278730158066,Ag
